label,DAPI1st,DAPI2nd,DAPI3rd,MBP488,GAD647,GABA488,gephyrin594,GS594,Synapsin647,VGluT1_647,PSD95_488,NR1594
84,29307798.0,7392201.0,9052365.0,727942.0,9581920.0,1756725.0,2563845.0,3088435.0,5114584.0,4376245.0,7643043.0,1385670.0
85,23693065.0,7066759.0,8873949.0,633260.0,9172502.0,4719044.0,2688112.0,3903837.0,5918015.0,2857102.0,726160.0,917951.0
86,29018217.0,6999782.0,9008198.0,845118.0,8722273.0,2767026.0,2619401.0,3187008.0,11432191.0,6658665.0,2182311.0,1306544.0
87,28376084.0,6645673.0,8528805.0,649460.0,7918025.0,1516392.0,2665454.0,3083245.0,9262230.0,4181680.0,4394900.0,1239560.0
88,25982161.0,7340810.0,9134499.0,850991.0,9504408.0,2181432.0,2331695.0,3171789.0,8335440.0,4866432.0,6865921.0,1073036.0
89,21480138.0,6522171.0,7601083.0,515347.0,7491123.0,2131020.0,2619551.0,4010255.0,5630539.0,3515273.0,2513100.0,968490.0
90,24154537.0,6554272.0,7624771.0,700278.0,7598298.0,1783914.0,2632837.0,3855113.0,7418195.0,3689153.0,1319172.0,1916009.0
91,23853126.0,5990290.0,6878648.0,493416.0,6757226.0,1446215.0,2105988.0,3163253.0,8614536.0,3145149.0,2729287.0,951680.0
92,24572216.0,6609385.0,7626819.0,391227.0,8874068.0,812208.0,2489049.0,3123454.0,7381239.0,4432151.0,3738488.0,1666435.0
93,18313716.0,5254364.0,6261485.0,591130.0,6039653.0,3039373.0,1798317.0,2311401.0,4842795.0,2589799.0,1515381.0,1003787.0
94,23970058.0,6606664.0,7414568.0,289880.0,8722436.0,2264708.0,2707941.0,3142135.0,11233495.0,4014674.0,4290960.0,1123134.0
95,23318496.0,6490853.0,7323432.0,518612.0,7096649.0,1799040.0,2711993.0,3369432.0,8032889.0,4342157.0,3414777.0,1613377.0
96,15529370.0,4459579.0,5390126.0,358489.0,4601765.0,956826.0,1545120.0,2689899.0,3103039.0,1861723.0,1330353.0,587532.0
97,10378295.0,3107197.0,3661235.0,262540.0,3175538.0,721357.0,1099630.0,1382472.0,2075515.0,1252548.0,1114447.0,392832.0
98,18977045.0,5243613.0,6210578.0,414075.0,6564637.0,3538476.0,1638686.0,3462246.0,5401407.0,2266248.0,2223484.0,1387623.0
99,24366772.0,6213102.0,7194944.0,543591.0,9184343.0,4717245.0,2278368.0,4549629.0,5688279.0,2893769.0,1538998.0,1046108.0
100,17980598.0,5439705.0,6028887.0,541943.0,9065995.0,5321918.0,4746704.0,3413474.0,5302165.0,2045689.0,641040.0,790907.0
101,13398393.0,4393360.0,5352350.0,312132.0,4718184.0,849873.0,1491742.0,1661210.0,3076013.0,1699694.0,1348599.0,586710.0
102,11750054.0,4290304.0,5160812.0,342115.0,4394569.0,531709.0,1440142.0,1918401.0,2990812.0,1971821.0,498491.0,600039.0
103,17592430.0,5146964.0,6033149.0,436037.0,6271866.0,774342.0,1828877.0,2479885.0,4890361.0,3382195.0,4143825.0,934306.0
104,14930884.0,4291047.0,5216997.0,479303.0,5087049.0,1895646.0,1484351.0,2281310.0,3984194.0,1825982.0,704563.0,606664.0
105,19808043.0,5322727.0,6076769.0,515579.0,5617856.0,1267986.0,2496119.0,2139561.0,6444837.0,2228376.0,1025836.0,708577.0
106,22853787.0,6263717.0,7336038.0,1156010.0,7786561.0,1584589.0,2370336.0,3052836.0,9419270.0,3203035.0,2511457.0,1376993.0
107,23493179.0,6076205.0,7010213.0,489993.0,8829309.0,5286681.0,2696728.0,4339388.0,6407613.0,2142622.0,689262.0,1201988.0
