label,DAPI1st,DAPI2nd,DAPI3rd,MBP488,GAD647,GABA488,gephyrin594,GS594,Synapsin647,VGluT1_647,PSD95_488,NR1594
210,65200888.0,19706446.0,24720944.0,2136051.0,25825978.0,14410303.0,7326409.0,10266612.0,14972387.0,6997282.0,2118878.0,2406653.0
211,66978178.0,18446766.0,23615809.0,1969671.0,22526363.0,6853035.0,7587594.0,10182398.0,13788369.0,8595029.0,2363101.0,2470528.0
212,70587065.0,18223377.0,23195333.0,1937128.0,20440134.0,5711268.0,7175540.0,8394304.0,13266092.0,7740199.0,1995194.0,3323860.0
213,68915899.0,19953035.0,24401390.0,1776018.0,21679470.0,5472479.0,7566730.0,8538577.0,19974715.0,9479653.0,4857979.0,2768376.0
214,66438382.0,19704880.0,24401425.0,1971066.0,22169323.0,11179504.0,6849796.0,10062268.0,15678756.0,10001614.0,2269813.0,3011173.0
215,66452226.0,19847067.0,24590143.0,1935322.0,21598017.0,5640515.0,6768168.0,10393268.0,13647429.0,8365919.0,4033026.0,3540922.0
216,66535889.0,19848982.0,24873694.0,1896676.0,24382663.0,5909826.0,6626795.0,8649681.0,13880561.0,8573825.0,2874706.0,2934345.0
217,81594772.0,18025131.0,23115696.0,1853400.0,22075302.0,5545883.0,8043377.0,9525348.0,16319171.0,9858123.0,6553500.0,2926536.0
218,34182021.0,9477540.0,12012337.0,995587.0,10319837.0,2724905.0,3744566.0,5835551.0,7426443.0,3665450.0,2308496.0,1889625.0
219,35698471.0,12044329.0,15217702.0,1084253.0,15365532.0,2821388.0,3820367.0,4886636.0,11977425.0,5838403.0,5083430.0,2027262.0
220,62657002.0,17669708.0,20323673.0,1627834.0,19845664.0,5939277.0,6629102.0,9837275.0,17663538.0,7077485.0,4080769.0,3756760.0
221,41919824.0,14848233.0,18360654.0,1445983.0,16252416.0,3166874.0,5150296.0,6448273.0,19764473.0,6953781.0,2906495.0,3059488.0
222,62814632.0,19317149.0,23719376.0,7545574.0,23151525.0,6582385.0,6420288.0,9929225.0,12910060.0,7539934.0,2990440.0,2727509.0
223,63410462.0,13337478.0,17010742.0,9386997.0,15775507.0,2980771.0,6165802.0,7335507.0,11009436.0,5278974.0,3105600.0,2824868.0
224,29037186.0,5892533.0,7426593.0,822019.0,8701476.0,3723373.0,2900858.0,4505544.0,10339024.0,3247809.0,1273788.0,997408.0
225,24424236.0,7545232.0,8938115.0,556698.0,12621908.0,11230012.0,3347475.0,5706841.0,7737581.0,3010342.0,1896901.0,1568424.0
226,25183600.0,7196788.0,8506017.0,510428.0,10518748.0,9731151.0,2510197.0,4646244.0,7146288.0,3251533.0,814550.0,1049786.0
